label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,APC_Diameter_numeric,elevation,APC_Depth_numeric,morphology_score,Comment
CC0221,239.6554,-11.51587,sky,0,,,,11526.07097894334,,5.0,skylight off Arsia south flank
CC0253,248.4829,3.75879,sky,0,,,,5432.76359531329,,5.0,Famous pit-floor cave on Pavonis
CC0256,250.5591,6.30237,sky,0,,,,4617.486193366982,,5.0,Lavatube impact NW
CC0257,250.5629,6.29941,sky,0,,,,4620.675722883154,,5.0,Lavatube impact SE
CC0274,242.1563,-2.37024,sky,0,,,,7043.448118785054,,5.0,Line of trench pits
CC0275,242.1466,-2.33789,sky,0,,,,7033.465931195207,,5.0,Trench pit
CC0276,242.2905,-2.48511,sky,0,,,,7085.194926787617,,5.0,Trench pit
CC0304,236.3029,-1.41553,sky,0,,,,4256.461743221204,,5.0,Skylight
CC0305,236.4304,-1.38672,sky,0,,,,4291.38103348613,,5.0,Skylight
CC0306,236.4329,-1.38782,sky,0,,,,4291.826795984031,,5.0,Skylight
CC0307,236.4423,-1.39038,sky,0,,,,4293.121107918255,,5.0,Skylight
CC0308,236.4658,-1.42175,sky,0,,,,4308.4398638010425,,5.0,Skylight
CC0348,236.3306,0.59424,sky,0,,,,4236.456554093951,,5.0,Skylight
CC0480,241.8828,-2.27867,sky,0,,,,6995.788436311002,,5.0,Small fracture skylight
CC0481,241.8877,-2.27881,sky,0,,,,6995.869033556799,,5.0,Large fracture skylight
CC0482,241.9834,-2.27173,sky,0,,,,7006.883214338085,,5.0,Largest fracture skylight
CC0774,236.1148,-3.14771,sky,0,,,,4560.08645535799,,5.0,tube skylight
CC0775,236.0798,-3.08081,sky,0,,,,4547.442085513359,,5.0,tube skylight
CC0776,236.0749,-3.0733,sky,0,,,,4545.256094899753,,5.0,tube skylight
CC0777,236.0728,-3.0528,sky,0,,,,4540.051837367016,,5.0,tube skylight
CC0778,236.0729,-3.04926,sky,0,,,,4538.574150329942,,5.0,tube skylight
CC0779,236.0719,-3.04401,sky,0,,,,4535.956203274758,,5.0,tube skylight
CC0780,236.0627,-3.00909,sky,0,,,,4509.380278188093,,5.0,tube skylight
CC0781,236.0446,-2.99792,sky,0,,,,4499.525345783648,,5.0,tube skylight
CC0782,236.04,-2.99756,sky,0,,,,4498.481983681395,,5.0,tube skylight
CC0783,236.0365,-2.99695,sky,0,,,,4497.57799338245,,5.0,tube skylight
CC0784,236.0146,-2.93555,sky,0,,,,4478.883806619745,,5.0,tube skylight
CC0785,235.9832,-2.91675,sky,0,,,,4473.990267066917,,5.0,tube skylight
CC0786,235.9755,-2.91278,sky,0,,,,4469.38450073459,,5.0,tube skylight
CC0787,235.9736,-2.89459,sky,0,,,,4462.514814668724,,5.0,tube skylight
CC0788,235.9763,-2.88922,sky,0,,,,4462.095413208289,,5.0,tube skylight
CC0789,235.9979,-2.85663,sky,0,,,,4451.851312428005,,5.0,tube skylight
CC0790,235.968,-2.86755,sky,0,,,,4453.576426543431,,5.0,tube skylight
CC0791,235.9623,-2.85175,sky,0,,,,4446.215376995204,,5.0,tube skylight
CC0792,235.9459,-2.83087,sky,0,,,,4438.65555259696,,5.0,tube skylight
CC0804,239.5204,-11.74243,sky,0,,,,11381.32242850867,,5.0,small 30m skylight in old pit chain
CC0805,239.0983,-11.34962,sky,0,,,,11986.072370954598,,5.0,small skylight
CC0806,239.1036,-11.3175,sky,0,,,,12036.115746787094,,5.0,small skylight
CC0899,232.8965,0.37598,sky,0,,,,2830.7098199079323,,5.0,Cave / natural bridge near Biblis Patera
CC0900,232.8984,0.37378,sky,0,,,,2832.284263687021,,5.0,Cave / natural bridge near Biblis Patera
CC0211,235.8737,-3.81203,sky,1,,,,4639.5601962456485,,4.6,Tube skylight at base of NW Arsia
CC0214,238.7192,-3.53171,sky,1,,,,6039.045826455621,,4.6,good 20m tube skylight
CC0220,233.086,-0.09179,sky,1,,,,3013.597984370952,,4.6,candidate tube skylight
CC0222,239.065,-13.32391,sky,1,,,,10217.570754534125,,4.6,initial surface breach?
CC0223,234.3142,-11.47247,sky,1,,,,6107.625429280364,,4.6,inflated flow skylight candidate --
CC0224,236.9274,-4.07337,sky,1,,,,5126.175533942026,,4.6,Skylight pair (srp?) - Arsia off flank
CC0225,236.9281,-4.07527,sky,1,,,,5126.32389243622,,4.6,Skylight pair (srp?) - Arsia off flank
CC0228,236.2019,-3.25931,sky,1,,,,4615.827636222175,,4.6,Skylight
CC0229,236.2041,-3.26335,sky,1,,,,4618.726648635888,,4.6,Skylight
CC0233,236.213,-3.27304,sky,1,,,,4626.143787772223,,4.6,Skylight
CC0236,236.2371,-3.2932,sky,1,,,,4637.594518539652,,4.6,Skylight
CC0237,236.2495,-3.30621,sky,1,,,,4646.721274797004,,4.6,Skylight
CC0238,236.2612,-3.30982,sky,1,,,,4651.07367167055,,4.6,Skylight
CC0241,236.2839,-3.36976,sky,1,,,,4683.269238956417,,4.6,Skylight
CC0242,236.2884,-3.37601,sky,1,,,,4688.848817899903,,4.6,Skylight
CC0249,236.339,-3.49398,sky,1,,,,4738.836814890964,,4.6,Skylight
CC0250,236.3663,-3.5139,sky,1,,,,4748.586335383874,,4.6,Skylight
CC0254,243.448,17.93182,sky,1,,,,2327.756061438456,,4.6,Possible vent hole with attached tube or dike
CC0255,240.8051,0.83864,sky,1,,,,4968.892240453352,,4.6,skylight as wide as channel in flood lavas
CC0259,242.5594,7.67303,sky,1,,,,3317.930091788716,,4.6,Graben-edge 170x300m pit with strong overhang
CC0265,248.8112,-3.67224,sky,1,,,,6908.91712945055,,4.6,Skylight in channel
CC0270,248.0475,-8.22035,sky,1,,,,7073.250957500058,,4.6,Tube skylight pair
CC0271,248.0475,-8.22235,sky,1,,,,7073.879486645192,,4.6,Tube skylight pair
CC0273,248.6138,-2.17212,sky,1,,,,6802.667967926399,,4.6,hole in top of cone
CC0277,249.978,-1.39307,sky,1,,,,6153.23744885785,,4.6,skylight
CC0278,250.1003,-0.28812,sky,1,,,,5873.214461556849,,4.6,skylight
CC0281,259.4139,3.17889,sky,1,,,,4509.503227245932,,4.6,Deep hole in channel
CC0288,231.8906,-0.93933,sky,1,,,,2749.512975703512,,4.6,Lateral tube skylight
CC0292,235.5515,0.7771,sky,1,,,,3921.1734401808953,,4.6,Solid looking lava tube skylight
CC0299,236.1482,-1.46228,sky,1,,,,4203.025792670121,,4.6,Skylight
CC0300,236.2094,-1.47205,sky,1,,,,4223.7916780913465,,4.6,Skylight
CC0301,236.1982,-1.47437,sky,1,,,,4220.43828103926,,4.6,Skylight
CC0302,236.2322,-1.47644,sky,1,,,,4233.6097915483415,,4.6,Skylight
CC0303,236.245,-1.46997,sky,1,,,,4237.529370143804,,4.6,Skylight
CC0323,236.7699,-0.46796,sky,1,,,,4318.323512301442,,4.6,skylight
CC0324,236.741,-0.4765,sky,1,,,,4312.961520276891,,4.6,skylight
