label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,Comment,elevation,APC_Diameter_numeric,APC_Depth_numeric,type_score,priority_score,morphology_score,themis_lon_tile,themis_lat_tile,themis_tile,themis_quantitative_product_name
CC0362,236.6997,-0.74756,sky,1,,,inflated flow skylight,4308.22017385591,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0368,234.6502,0.34631,sky,1,,,Small rimless pit,3554.439232236821,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0387,234.6398,0.97668,sky,1,,,skylight,3488.710786634146,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0389,234.7289,0.49,sky,1,,,skylight,3607.615823031552,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0390,234.7329,0.49048,sky,1,,,skylight,3608.748927907396,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0394,234.8965,-0.30908,sky,1,,,skylight,3740.3144684624376,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0403,235.1892,-3.13107,sky,1,,,skylight,4227.177953051297,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0407,235.4607,-3.27222,sky,1,,,skylight,4382.545413507402,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0409,235.3469,-3.20654,sky,1,,,skylight,4329.017474935015,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0414,234.2354,0.53979,sky,1,,,skylight,3379.619281718652,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0415,234.239,0.54199,sky,1,,,skylight,3381.8172171236943,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0420,234.4329,-0.24756,sky,1,,,skylight,3577.8056431674668,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0430,234.2665,-0.12085,sky,1,,,skylight,3506.193585574687,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0432,234.2064,-0.10571,sky,1,,,skylight,3476.835893965871,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0433,234.2047,-0.10559,sky,1,,,skylight,3476.3389653281256,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0434,234.202,-0.10547,sky,1,,,skylight,3475.516225929465,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
