label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,APC_Diameter_numeric,elevation,APC_Depth_numeric,morphology_score,themis_tile,themis_quantitative_product_name,Comment,TI_center_pixel,TI_center_mean_3x3,TI_center_median_3x3,TI_surrounding_mean,TI_surrounding_median,TI_surrounding_std,Delta_TI,Local_TI_zscore,valid_surrounding_pixels,thermal_status,pixel_row,pixel_col,raster_file,thermal_rank_score
APC106,139.1303,28.58124,APC,1,255,92.0,255.0,-1691.0113591014494,92.0,4.0,00N120E,THEMIS Thermal Inertia Mosaic Quantitative 00N120E 100mpp,sloped floor?,645.3013305664062,633.9886610243055,631.7689819335938,610.564435143262,597.8631591796875,96.09030928505089,21.204546790331733,0.22067310375106264,1188,ok,841,11340,THEMIS_TI_Mosaic_Quant_00N120E_100mpp.tif,0.9135416666666666
CC0891,246.9805,27.64392,pit,0,,,,2843.88328144721,,3.8,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Tharsis vent candidate,223.474609375,215.53150092230902,216.28431701660156,206.31153710362085,205.43421173095703,9.410872248446074,9.972779912980712,1.0597083511177638,1188,ok,1397,4138,THEMIS_TI_Mosaic_Quant_00N240E_100mpp.tif,0.9100694444444444
CC0742,226.5841,17.7379,lat,0,,,,20118.12978497277,,3.8,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,Good lateral candidate in Olympus Mons caldera rim,447.59393310546875,448.06464301215277,448.0191650390625,432.6872676117252,434.857177734375,55.08536740920577,15.33189742733731,0.2783297661145321,1188,ok,7268,27613,THEMIS_TI_Mosaic_Quant_00N180E_100mpp.tif,0.9090277777777778
APC098,245.85,-16.25,APC,0,150,50.0,150.0,6294.999999999997,50.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC,186.5811004638672,187.33658515082465,186.5811004638672,174.69829104645083,174.70088958740234,8.743964231328324,11.882809417416354,1.3589727843169823,1188,ok,9632,3467,THEMIS_TI_Mosaic_Quant_30S240E_100mpp.tif,0.8951388888888888
APC053,239.9044,-11.35315,APC,1,110,66.0,110.0,11970.013335958174,66.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC near chains,195.72366333007812,201.06810167100696,198.11248779296875,183.89095454103617,193.43671417236328,21.283407403959554,14.221533251932584,0.6681981405518187,1188,ok,6729,35508,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.8892361111111111
APC085,247.5515,17.28099,APC,0,200,59.0,200.0,2152.857214178768,59.0,4.4,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Fanpit B,171.27049255371094,174.72218492296008,171.27049255371094,131.48439960287075,113.03824615478516,52.08650124283111,39.786092950840185,0.7638465245602596,1188,ok,7539,4476,THEMIS_TI_Mosaic_Quant_00N240E_100mpp.tif,0.8864583333333333
APC055,252.7008,21.79194,APC,1,112,78.0,112.0,2063.136646928369,78.0,4.0,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,2 Channel edge mystery spots,222.29580688476562,212.85859849717883,212.0172119140625,204.85255468092382,204.62215423583984,11.685165530097064,7.1646572331386835,0.6131412699875693,1188,ok,4865,7528,THEMIS_TI_Mosaic_Quant_00N240E_100mpp.tif,0.8836805555555556
APC119,236.5708,-6.75638,APC,1,250,101.0,250.0,6854.860156500407,101.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,"APC irregular 250x450 trough, In spread-out chain,",170.52284240722656,171.2440388997396,170.52284240722656,149.08561488193294,159.526123046875,25.228246970965607,21.437227525293622,0.8497311584893334,1188,ok,4004,33532,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.8767361111111112
APC139,250.4644,30.71753,APC,1,415,168.0,415.0,3158.243732677804,168.0,4.0,30N240E,THEMIS Thermal Inertia Mosaic Quantitative 30N240E 100mpp,Large ovoid APC 415x310 d=168  Lathrop contrib,370.4417724609375,355.90911865234375,356.29803466796875,350.6611203537244,350.2798767089844,23.575540482227645,5.636914314244336,0.23910010964515144,1188,ok,17357,6203,THEMIS_TI_Mosaic_Quant_30N240E_100mpp.tif,0.8763888888888889
APC035,237.9064,-18.10693,APC,1,75,76.0,75.0,5555.987591212003,76.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,"APC, irregular heart shape in AA? ~ questionable, just a dark floor?",239.39698791503906,239.10807630750867,240.37973022460938,233.4662709348531,232.64065551757812,22.5212405473046,6.913459289756275,0.3069750653937088,1188,ok,10732,34324,THEMIS_TI_Mosaic_Quant_30S180E_100mpp.tif,0.8694444444444445
