label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,APC_Diameter_numeric,elevation,APC_Depth_numeric,morphology_score,themis_tile,themis_quantitative_product_name,Comment
CC0788,235.9763,-2.88922,sky,0,,,,4462.095413208289,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0789,235.9979,-2.85663,sky,0,,,,4451.851312428005,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0790,235.968,-2.86755,sky,0,,,,4453.576426543431,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0791,235.9623,-2.85175,sky,0,,,,4446.215376995204,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0792,235.9459,-2.83087,sky,0,,,,4438.65555259696,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0804,239.5204,-11.74243,sky,0,,,,11381.32242850867,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,small 30m skylight in old pit chain
CC0805,239.0983,-11.34962,sky,0,,,,11986.072370954598,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,small skylight
CC0806,239.1036,-11.3175,sky,0,,,,12036.115746787094,,5.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,small skylight
CC0899,232.8965,0.37598,sky,0,,,,2830.7098199079323,,5.0,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,Cave / natural bridge near Biblis Patera
CC0900,232.8984,0.37378,sky,0,,,,2832.284263687021,,5.0,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,Cave / natural bridge near Biblis Patera
CC0211,235.8737,-3.81203,sky,1,,,,4639.5601962456485,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Tube skylight at base of NW Arsia
CC0214,238.7192,-3.53171,sky,1,,,,6039.045826455621,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,good 20m tube skylight
CC0220,233.086,-0.09179,sky,1,,,,3013.597984370952,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,candidate tube skylight
CC0222,239.065,-13.32391,sky,1,,,,10217.570754534125,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,initial surface breach?
CC0223,234.3142,-11.47247,sky,1,,,,6107.625429280364,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,inflated flow skylight candidate --
CC0224,236.9274,-4.07337,sky,1,,,,5126.175533942026,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight pair (srp?) - Arsia off flank
CC0225,236.9281,-4.07527,sky,1,,,,5126.32389243622,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight pair (srp?) - Arsia off flank
CC0228,236.2019,-3.25931,sky,1,,,,4615.827636222175,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0229,236.2041,-3.26335,sky,1,,,,4618.726648635888,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0233,236.213,-3.27304,sky,1,,,,4626.143787772223,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0236,236.2371,-3.2932,sky,1,,,,4637.594518539652,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0237,236.2495,-3.30621,sky,1,,,,4646.721274797004,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0238,236.2612,-3.30982,sky,1,,,,4651.07367167055,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0241,236.2839,-3.36976,sky,1,,,,4683.269238956417,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0242,236.2884,-3.37601,sky,1,,,,4688.848817899903,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0249,236.339,-3.49398,sky,1,,,,4738.836814890964,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0250,236.3663,-3.5139,sky,1,,,,4748.586335383874,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0254,243.448,17.93182,sky,1,,,,2327.756061438456,,4.6,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Possible vent hole with attached tube or dike
CC0255,240.8051,0.83864,sky,1,,,,4968.892240453352,,4.6,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,skylight as wide as channel in flood lavas
CC0259,242.5594,7.67303,sky,1,,,,3317.930091788716,,4.6,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Graben-edge 170x300m pit with strong overhang
CC0265,248.8112,-3.67224,sky,1,,,,6908.91712945055,,4.6,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,Skylight in channel
CC0270,248.0475,-8.22035,sky,1,,,,7073.250957500058,,4.6,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,Tube skylight pair
CC0271,248.0475,-8.22235,sky,1,,,,7073.879486645192,,4.6,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,Tube skylight pair
CC0273,248.6138,-2.17212,sky,1,,,,6802.667967926399,,4.6,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,hole in top of cone
CC0277,249.978,-1.39307,sky,1,,,,6153.23744885785,,4.6,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,skylight
CC0278,250.1003,-0.28812,sky,1,,,,5873.214461556849,,4.6,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,skylight
