region,candidate_count,mean_score,max_score,mean_delta_TI,max_delta_TI
Other,8,0.7794112811791384,0.9337599206349206,8.878323681507045,42.70674266879405
Arsia / South Tharsis,82,0.5936334768282313,0.9282645975056688,-0.5554264591315266,39.6512178491663
Elysium / Cerberus,24,0.5845573507180649,0.9259268707482992,-1.6160539009354278,259.8817823262327
Ascraeus / North Tharsis,17,0.7414497465652927,0.9065710034013604,15.944152558527502,82.0325946101436
Pavonis / Central Tharsis,156,0.5741804275473631,0.8512322845804988,-0.5770820797649103,16.88445193358143
Olympus / Western Tharsis,1,0.8374326814058957,0.8374326814058957,15.33189742733731,15.33189742733731
Kasei / NW,5,0.4809465702947845,0.6422243480725622,-12.44169631983696,1.845320608479412
Tharsis,1,0.5443955498866213,0.5443955498866213,-14.028187414612432,-14.028187414612432
