TypeCode,candidate_count,mean_score,max_score,mean_delta_TI,max_delta_TI
APC,132,0.6286263166207959,0.9337599206349206,2.9390372071684343,259.8817823262327
lat,21,0.6371220088912758,0.8950715702947845,-7.877671343414535,62.61118659587822
pit,9,0.5992772994614513,0.8495160147392289,-3.066155900858867,17.618335518371367
sky,127,0.5542465702947845,0.805766014739229,-0.8438310646686733,10.107248074784238
end,5,0.4551757369614512,0.6930576814058956,-4.6919361448448536,20.38692955376725
